dataset_id,column_name,sample_value,null_pct
24ie-9cft,odprecid,00298-0112,0.0
24ie-9cft,programyear,2022-2023,0.0
24ie-9cft,reporttype,AllSummerSitesContacts,0.0
24ie-9cft,program,SFSP,0.0
24ie-9cft,ceid,00298,0.0
24ie-9cft,cename,PILOT POINT ISD,0.0
24ie-9cft,typeofagency,Educational Institution,0.0
24ie-9cft,typeoforg,School Food Authority,0.0
24ie-9cft,esc,11,0.0
24ie-9cft,tdaregion,2,0.0
24ie-9cft,cestatus,Active,0.0
24ie-9cft,ceapplicationcycle,RENEWAL,0.0
24ie-9cft,siteid,0112,0.0
24ie-9cft,sitename,St. Thomas Aquinas Catholic Church,0.0
24ie-9cft,sitestatus,ACTIVE,0.0
24ie-9cft,countydistrictcode,061-903,13.91
24ie-9cft,cecounty,DENTON,0.0
24ie-9cft,sitecounty,DENTON,0.0
24ie-9cft,cestreetaddressline1,829 S. Harrison St,0.0
24ie-9cft,cestreetaddressline2,Child Nutrition,88.75
24ie-9cft,cestreetaddresscity,Pilot Point,0.0
24ie-9cft,cestreetaddressstate,TX,0.0
24ie-9cft,cestreetaddresszipcode,76258,0.0
24ie-9cft,cemailingaddressline1,829 S. Harrison St,0.0
24ie-9cft,cemailingaddressline2,Child Nutrition,88.69
24ie-9cft,cemailingaddresscity,Pilot Point,0.0
24ie-9cft,cemailingaddressstate,TX,0.0
24ie-9cft,cemailingaddresszipcode,76258,0.0
24ie-9cft,sitestreetaddressline1,400 St. Thomas Aquinas Ave.,0.0
24ie-9cft,sitestreetaddresscity,Pilot Point,0.0
24ie-9cft,sitestreetaddressstate,TX,0.0
24ie-9cft,sitestreetaddresszipcode,76258,0.0
24ie-9cft,progradministratorsalutation,Ms.,7.56
24ie-9cft,progradministratorfirstname,Karen,0.0
24ie-9cft,progradministratorlastname,Quiroz,0.0
24ie-9cft,progradministratortitlep,Program Director of Child Nutrition,0.0
24ie-9cft,progradministratoremail,kquiroz@pilotpointisd.com,0.0
24ie-9cft,progradministratorphone,9406868710,0.0
24ie-9cft,progrcoordinatorsalutation,Ms.,18.85
24ie-9cft,progrcoordinatorfirstname,Karen.,0.0
24ie-9cft,progrcoordinatorlastname,Quiroz,0.0
24ie-9cft,progrcoordinatortitleposition,Program Director of Child Nutrition,0.0
24ie-9cft,progrcoordinatoremail,kquiroz@pilotpointisd.com,0.0
24ie-9cft,progrcoordinatorphone,9406868710,0.0
24ie-9cft,sitecontactsalutation,Ms.,37.91
24ie-9cft,sitecontactfirstname,Karen,0.0
24ie-9cft,sitecontactlastname,Quiroz,0.0
24ie-9cft,sitecontacttitleposition,Program Director of Child Nutrition,0.0
24ie-9cft,sitecontactemail,kquiroz@pilotpointisd.com,8.17
24ie-9cft,sitecontactphone,9406868710,0.0
24ie-9cft,sitetype,Open,0.0
24ie-9cft,sitestartdate,2023-05-22T00:00:00.000,0.0
24ie-9cft,siteenddate,2023-06-29T00:00:00.000,0.0
24ie-9cft,daysofoperation,"M,T,W,TH",0.0
24ie-9cft,mealservicetype,Congregate,0.0
24ie-9cft,mealtypesserved,"Breakfast, Lunch",0.0
24ie-9cft,breakfasttime,7:30 - 8:30,21.75
24ie-9cft,breakfastdaysserved,"M, T, W, TH",21.75
24ie-9cft,lunchtime,11:00 - 12:00,3.2
24ie-9cft,lunchdaysserved,"M, T, W, TH",3.2
24ie-9cft,operationstartdate,2023-05-22T00:00:00.000,0.0
24ie-9cft,operationenddate,2023-06-29T00:00:00.000,0.0
24ie-9cft,geolocation,"{'type': 'Point', 'coordinates': [-96.954226977, 33.404275008]}",0.02
24ie-9cft,computed_region_ptpy_sh92,106,0.06
24ie-9cft,computed_region_59h5_km5p,231,0.09
24ie-9cft,computed_region_de3d_j5mj,16,0.08
24ie-9cft,computed_region_ji3u_dqif,26,0.04
24ie-9cft,computed_region_rk7b_wvzt,30,0.04
24ie-9cft,pmsnacktime,15:00 - 16:00,90.81
24ie-9cft,pmsnackdaysserved,"M, T, W, TH, F",90.81
